configuration,evaluation_scope,file_name,perturbation,status,rejection_reason,original_prediction_kg,perturbed_prediction_kg,delta_kg
random_forest,baseline,295a18ed-f530-4a21-9fdd-7636c3135df2.png,scale_shrink,eligible,,99.174322,84.511182,-14.663140
random_forest,baseline,295a18ed-f530-4a21-9fdd-7636c3135df2.png,shift_down,eligible,,99.174322,99.174322,0.000000
random_forest,baseline,295a18ed-f530-4a21-9fdd-7636c3135df2.png,shift_left,eligible,,99.174322,99.174322,0.000000
random_forest,baseline,295a18ed-f530-4a21-9fdd-7636c3135df2.png,shift_right,eligible,,99.174322,99.174322,0.000000
random_forest,baseline,295a18ed-f530-4a21-9fdd-7636c3135df2.png,shift_up,eligible,,99.174322,99.174322,0.000000
random_forest,baseline,2d792231-41e6-4235-84ac-3fc27433c34a.png,contraction,rejected,insufficient_expansion_margin,363.632994,,
random_forest,baseline,2d792231-41e6-4235-84ac-3fc27433c34a.png,expansion,rejected,insufficient_expansion_margin,363.632994,,
random_forest,baseline,2d792231-41e6-4235-84ac-3fc27433c34a.png,scale_grow,eligible,,363.632994,361.325447,-2.307547
random_forest,baseline,2d792231-41e6-4235-84ac-3fc27433c34a.png,scale_shrink,eligible,,363.632994,352.777814,-10.855180
random_forest,baseline,2d792231-41e6-4235-84ac-3fc27433c34a.png,shift_down,rejected,shift_cuts_foreground,363.632994,,
random_forest,baseline,2d792231-41e6-4235-84ac-3fc27433c34a.png,shift_left,eligible,,363.632994,363.632994,0.000000
random_forest,baseline,2d792231-41e6-4235-84ac-3fc27433c34a.png,shift_right,eligible,,363.632994,363.632994,0.000000
random_forest,baseline,2d792231-41e6-4235-84ac-3fc27433c34a.png,shift_up,eligible,,363.632994,363.632994,0.000000
random_forest,baseline,2dd84a7b-bd27-4446-8ce3-0485aff99694.png,contraction,eligible,,228.464617,158.353334,-70.111283
random_forest,baseline,2dd84a7b-bd27-4446-8ce3-0485aff99694.png,expansion,eligible,,228.464617,401.817908,173.353290
random_forest,baseline,2dd84a7b-bd27-4446-8ce3-0485aff99694.png,scale_grow,eligible,,228.464617,323.724768,95.260151
random_forest,baseline,2dd84a7b-bd27-4446-8ce3-0485aff99694.png,scale_shrink,eligible,,228.464617,171.878625,-56.585992
random_forest,baseline,2dd84a7b-bd27-4446-8ce3-0485aff99694.png,shift_down,rejected,shift_cuts_foreground,228.464617,,
random_forest,baseline,2dd84a7b-bd27-4446-8ce3-0485aff99694.png,shift_left,eligible,,228.464617,228.464617,0.000000
random_forest,baseline,2dd84a7b-bd27-4446-8ce3-0485aff99694.png,shift_right,eligible,,228.464617,228.464617,0.000000
random_forest,baseline,2dd84a7b-bd27-4446-8ce3-0485aff99694.png,shift_up,eligible,,228.464617,228.464617,0.000000
random_forest,baseline,2dfe3cf8-81a2-4320-9e17-2970ec2d9b82.png,contraction,eligible,,365.998880,332.498310,-33.500570
random_forest,baseline,2dfe3cf8-81a2-4320-9e17-2970ec2d9b82.png,expansion,eligible,,365.998880,391.511845,25.512965
random_forest,baseline,2dfe3cf8-81a2-4320-9e17-2970ec2d9b82.png,scale_grow,eligible,,365.998880,372.043527,6.044647
random_forest,baseline,2dfe3cf8-81a2-4320-9e17-2970ec2d9b82.png,scale_shrink,eligible,,365.998880,338.462224,-27.536657
random_forest,baseline,2dfe3cf8-81a2-4320-9e17-2970ec2d9b82.png,shift_down,eligible,,365.998880,365.998880,0.000000
random_forest,baseline,2dfe3cf8-81a2-4320-9e17-2970ec2d9b82.png,shift_left,eligible,,365.998880,365.998880,0.000000
